Nome,Porcentagem,Ano que Saiu,Diretor,Data que Saiu,Bilheteria,Tamanho do Filme,Genero,Aonde Assistir
Let the Right One In,98%,2008,Tomas Alfredson,"Oct 24, 2008",,,Horror,"vudu,peacock,amazon-prime-video-us,apple-tv-us"
Alien,98%,1979,Ridley Scott,"May 25, 1979",$81.1M,1h57m,"Sci-fi,Horror","vudu,hulu,amazon-prime-video-us,apple-tv-us"
Jaws,97%,1975,Steven Spielberg,"Jun 20, 1975",,,"Holiday,Mystery&thriller,Horror,Adventure","in-theaters,vudu,peacock,netflix,amazon-prime-video-us,apple-tv-us"
Aliens,98%,1986,James Cameron,"Jul 18, 1986",,,"Sci-fi,Horror,Action","vudu,amazon-prime-video-us,apple-tv-us"
Psycho,97%,1960,Alfred Hitchcock,"Jun 16, 1960",ParamountPictures,,"Horror,Mystery&thriller","in-theaters,vudu,peacock,amazon-prime-video-us,apple-tv-us"
The Silence of the Lambs,95%,1991,Jonathan Demme,"Feb 13, 1991",,,"Mystery&thriller,Crime,Drama","in-theaters,vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Invisible Man,92%,2020,Leigh Whannell,"Feb 28, 2020",,,"Horror,Mystery&thriller","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Get Out,98%,2017,Jordan Peele,"Feb 24, 2017",$176.0M,1h44m,"Horror,Mystery&thriller,Comedy","in-theaters,vudu,peacock,netflix,amazon-prime-video-us,apple-tv-us"
A Quiet Place,96%,2018,John Krasinski,"Apr 6, 2018",,,"Horror,Sci-fi,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,paramount-plus-us,apple-tv-us"
What We Do in the Shadows,96%,2014,Jemaine Clement,"Feb 13, 2015",,,"Comedy,Horror","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Diabolique,95%,1955,Henri-Georges Clouzot,"
                                Oct 19, 2017
                            ","Filmsonor,VeraFilms",,French(France),"amazon-prime-video-us,max-us"
Rosemary's Baby,96%,1968,Roman Polanski,"Jun 12, 1968",ParamountPictures,,Horror,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
One Cut of the Dead,100%,2017,Koji Ichihashi,"
                                Dec 8, 2019
                            ",Shudder,,Japanese,"vudu,amazon-prime-video-us,apple-tv-us"
Shaun of the Dead,92%,2004,Edgar Wright,"Apr 9, 2004",,,"Comedy,Horror","in-theaters,vudu,peacock,hulu,amazon-prime-video-us,apple-tv-us"
Halloween,96%,1978,John Carpenter,"Oct 25, 1978",$47.5M,1h31m,"Holiday,Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
King Kong,97%,1933,Merian C. Cooper,"
                                Nov 28, 2008
                            ",RKORadioPicturesInc.,,English,"vudu,amazon-prime-video-us,apple-tv-us"
X,94%,2022,Ti West,"Mar 18, 2022",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,paramount-plus-us,showtime,apple-tv-us"
What Ever Happened to Baby Jane?,92%,1962,Robert Aldrich,"
                                Nov 21, 2016
                            ","WarnerBrothers,Aldrich,SevenArtsPictures",,English,"vudu,amazon-prime-video-us,apple-tv-us"
The Cabin in the Woods,92%,2011,Drew Goddard,"Apr 13, 2012",,,"Horror,Comedy","vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Birds,94%,1963,Alfred Hitchcock,"Mar 28, 1963",,,"Mystery&thriller,Drama,Horror","vudu,peacock,amazon-prime-video-us,apple-tv-us"
The Innocents,97%,2021,Maria Ekerhovd,"
                                May 13, 2022
                            ",IFCMidnight,,Norwegian,"vudu,amazon-prime-video-us,apple-tv-us"
28 Days Later,87%,2002,Danny Boyle,"Jun 27, 2003",,,"Horror,Sci-fi",
Barbarian,93%,2022,Zach Cregger,"Sep 9, 2022",,,"Horror,Mystery&thriller","vudu,hulu,max-us,apple-tv-us"
Us,93%,2019,Jordan Peele,"Mar 22, 2019",,,"Horror,Mystery&thriller","in-theaters,vudu,peacock,netflix,amazon-prime-video-us,apple-tv-us"
Hereditary,90%,2018,Ari Aster,"Jun 8, 2018",,,"Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,max-us,apple-tv-us"
Beast,92%,2017,Michael Pearce,"May 11, 2018",,,"Mystery&thriller,Horror,Romance","vudu,amazon-prime-video-us,apple-tv-us"
Green Room,90%,2015,Jeremy Saulnier,"Apr 29, 2016",,,"Mystery&thriller,Horror","vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Return of the Living Dead,91%,1985,Dan O'Bannon,"Aug 16, 1985",Metro-Goldwyn-Mayer,,"Horror,Comedy,Sci-fi","vudu,amazon-prime-video-us,apple-tv-us"
Misery,91%,1990,Rob Reiner,"Nov 30, 1990",,,"Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
The Lighthouse,90%,2019,Robert Eggers,"Oct 25, 2019",,,"Mystery&thriller,Drama","vudu,amazon-prime-video-us,paramount-plus-us,showtime,apple-tv-us"
An American Werewolf in London,89%,1981,John Landis,"Apr 21, 1981","MCA/UniversalPictures[us],VestronVideo,Polygram,UniversalPictures,LiveVideo",,"Horror,Comedy","in-theaters,vudu,apple-tv-us"
Evil Dead 2,88%,1987,Sam Raimi,"Mar 13, 1987",,,"Horror,Comedy","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Upgrade,88%,2018,Leigh Whannell,"Jun 1, 2018",,,"Sci-fi,Action,Horror","vudu,peacock,amazon-prime-video-us,max-us,apple-tv-us"
Drag Me to Hell,92%,2009,Sam Raimi,"May 29, 2009",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,apple-tv-us"
Ready or Not,89%,2019,Matt Bettinelli-Olpin,"Aug 21, 2019",,,"Horror,Mystery&thriller,Comedy","vudu,amazon-prime-video-us,apple-tv-us"
It,86%,2017,Andy Muschietti,"Sep 8, 2017",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,max-us,apple-tv-us"
Eraserhead,90%,1977,David Lynch,"
                                Apr 25, 2015
                            ",Surround,,English,"vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Orphanage,87%,2007,J. A. Bayona,"Jan 11, 2008",,,"Mystery&thriller,Horror,Drama","vudu,amazon-prime-video-us,apple-tv-us"
Attack the Block,91%,2011,Joe Cornish,"Jul 29, 2011",,,"Action,Comedy,Sci-fi","vudu,amazon-prime-video-us,apple-tv-us"
Mandy,91%,2018,Daniel Noah,"
                                Sep 14, 2018
                            ",RLJEFilms,,English,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
The Blackening,87%,2022,Tim Story,"Jun 16, 2023",,,"Horror,Comedy","vudu,amazon-prime-video-us,apple-tv-us"
Tucker & Dale vs Evil,85%,2010,Eli Craig,"Sep 30, 2011",,,"Horror,Comedy","vudu,peacock,hulu,apple-tv-us"
The Others,84%,2001,Alejandro Amenábar,"Aug 10, 2001",,,"Mystery&thriller,Horror","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
The Dead Zone,89%,1983,David Cronenberg,"Oct 21, 1983","VideoClassics,ParamountPictures,VTIHomeVideo",,"Mystery&thriller,Sci-fi","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Annihilation,88%,2018,Alex Garland,"Feb 23, 2018",,,"Sci-fi,Adventure,Mystery&thriller","vudu,amazon-prime-video-us,paramount-plus-us,apple-tv-us"
The Witch,90%,2015,Robert Eggers,"Feb 19, 2016",$25.1M,1h32m,"Horror,History,Drama","vudu,amazon-prime-video-us,max-us,apple-tv-us"
Fear Street Part Two: 1978,87%,2021,Leigh Janiak,"
                                1h 51m
                            ",Scope(2.35:1),,Horror,netflix
The Invitation,89%,2015,Martha Griffin,"
                                Aug 10, 2016
                            ",DrafthouseFilms,,English,"vudu,peacock,amazon-prime-video-us,apple-tv-us"
The Dark and the Wicked,91%,2020,Bryan Bertino,"
                                Nov 6, 2020
                            ",Shudder,,English,"vudu,amazon-prime-video-us,apple-tv-us"
Carnival of Souls,87%,1962,Herk Harvey,"Sep 26, 1962",HarcourtProductions,,Horror,"vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Night House,88%,2020,David Bruckner,"Aug 20, 2021",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,apple-tv-us"
Evil Dead Rise,84%,2023,Lee Cronin,"Apr 21, 2023",,,"Horror,Mystery&thriller,Fantasy","vudu,amazon-prime-video-us,max-us,apple-tv-us"
Doctor Sleep,78%,2019,Mike Flanagan,"Nov 8, 2019",,,"Horror,Mystery&thriller","vudu,hulu,amazon-prime-video-us,max-us,apple-tv-us"
Nope,83%,2022,Jordan Peele,"Jul 22, 2022",,,"Sci-fi,Horror,Mystery&thriller","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Crawl,84%,2019,Alexandre Aja,"Jul 12, 2019",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,paramount-plus-us,apple-tv-us"
The Abominable Dr. Phibes,88%,1971,Robert Fuest,"May 18, 1971","LiveVideo,MGM/UAHomeEntertainmentInc.,ImageEntertainmentInc.,OrionPictures,AmericanInternationalPictures,VestronVideo,Metro-Goldwyn-MayerDistributingCorp.,Metro-Goldwyn-Mayer",,"Horror,Comedy",
The Mummy,89%,1932,Carl Laemmle Jr.,"
                                Apr 19, 2016
                            ",UniversalPictures,,English,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Halloween,79%,2018,David Gordon Green,"Oct 19, 2018",,,"Holiday,Horror,Mystery&thriller","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Color Out of Space,86%,2019,Daniel Noah,"
                                Feb 21, 2020
                            ",RLJEFilms,,English,"vudu,amazon-prime-video-us,apple-tv-us"
Scary Stories to Tell in the Dark,77%,2019,André Øvredal,"Aug 9, 2019",,,"Horror,Mystery&thriller,Adventure","vudu,peacock,hulu,amazon-prime-video-us,apple-tv-us"
Frailty,75%,2002,Bill Paxton,"Apr 12, 2002",,,"Mystery&thriller,Horror","vudu,amazon-prime-video-us,apple-tv-us"
Dead Ringers,85%,1988,David Cronenberg,"Sep 23, 1988",,,"Horror,Drama,Mystery&thriller","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Slither,87%,2006,James Gunn,"Mar 31, 2006",,,"Horror,Sci-fi,Comedy","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Bubba Ho-Tep,79%,2002,Don Coscarelli,"Jun 9, 2002",,,"Comedy,Horror","vudu,amazon-prime-video-us,apple-tv-us"
Videodrome,81%,1983,David Cronenberg,"Jan 28, 1983","CriterionCollection,UniversalPictures",,Horror,"vudu,peacock,amazon-prime-video-us,apple-tv-us"
1408,80%,2007,Mikael Håfström,"Jun 22, 2007",,,"Horror,Mystery&thriller,Fantasy","vudu,amazon-prime-video-us,apple-tv-us"
Bram Stoker's Dracula,78%,1992,Francis Ford Coppola,"Nov 13, 1992",,,Horror,"vudu,amazon-prime-video-us,apple-tv-us"
Bones and All,82%,2022,Luca Guadagnino,"Nov 23, 2022",UnitedArtistsReleasing,,"Mystery&thriller,Romance,Drama","vudu,amazon-prime-video-us,apple-tv-us"
Scream,76%,2022,Matt Bettinelli-Olpin,"Jan 14, 2022",ParamountPictures,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,paramount-plus-us,showtime,apple-tv-us"
Come to Daddy,88%,2019,Ant Timpson,"Feb 7, 2020",,,"Comedy,Mystery&thriller","vudu,amazon-prime-video-us,apple-tv-us"
Dawn of the Dead,76%,2004,Zack Snyder,"Mar 19, 2004",,,Horror,"in-theaters,vudu,peacock,amazon-prime-video-us"
Overlord,82%,2018,Julius Avery,"Nov 9, 2018",,,"Horror,Action,Mystery&thriller","vudu,amazon-prime-video-us,paramount-plus-us,apple-tv-us"
Werewolves Within,86%,2021,Josh Ruben,"Jun 25, 2021",,,"Comedy,Horror,Mystery&thriller","vudu,hulu,amazon-prime-video-us,apple-tv-us"
Smile,79%,2022,Parker Finn,"Sep 30, 2022",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,paramount-plus-us,apple-tv-us"
Thirst,81%,2009,Park Chan-wook,"Jul 31, 2009",,,"Horror,Mystery&thriller","vudu,peacock,amazon-prime-video-us,apple-tv-us"
House of Usher,84%,1960,Roger Corman,"
                                Nov 30, 2016
                            ","AmericanInternationalPictures(AIP),AltaVistaProductions",,English,"vudu,amazon-prime-video-us,apple-tv-us"
The House of the Devil,85%,2009,Ti West,"Oct 30, 2009",,,Horror,"in-theaters,vudu,peacock,amazon-prime-video-us,apple-tv-us"
Split,78%,2016,M. Night Shyamalan,"Jan 20, 2017",,,"Mystery&thriller,Horror","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Midsommar,83%,2019,Ari Aster,"Aug 30, 2019",,,"Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Warm Bodies,81%,2013,Jonathan Levine,"Feb 1, 2013",,,"Romance,Comedy,Horror","vudu,peacock,amazon-prime-video-us,max-us,apple-tv-us"
Shadow of the Vampire,82%,2000,E. Elias Merhige,"Jan 26, 2001",,,Drama,
Fright Night,82%,1985,Tom Holland,"Aug 2, 1985",ColumbiaPictures,,"Horror,Comedy","vudu,amazon-prime-video-us,apple-tv-us"
Predator,80%,1987,John McTiernan,"Jun 12, 1987",,,"Action,Adventure,Sci-fi","in-theaters,vudu,amazon-prime-video-us,max-us,apple-tv-us"
I Walked With a Zombie,85%,1943,Val Lewton,"
                                Jan 1, 2009
                            ",Mono,,English,"vudu,amazon-prime-video-us,apple-tv-us"
Goodnight Mommy,85%,2014,Veronika Franz,"Sep 11, 2015",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,apple-tv-us"
Saw X,79%,2023,Kevin Greutert,"Sep 29, 2023",,,"Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Sisters,85%,1973,Brian De Palma,"Mar 27, 1973",AmericanInternationalPictures,,Mystery&thriller,"amazon-prime-video-us,max-us,apple-tv-us"
Scream,81%,1996,Wes Craven,"Dec 20, 1996",,,"Horror,Comedy","in-theaters,vudu,amazon-prime-video-us,max-us,apple-tv-us"
Better Watch Out,89%,2016,Chris Peckover,"Oct 6, 2017",,,"Holiday,Horror,Mystery&thriller,Comedy","vudu,peacock,amazon-prime-video-us,apple-tv-us"
The Girl With All the Gifts,86%,2016,Colm McCarthy,"Feb 24, 2017",SabanFilms,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,apple-tv-us"
Fresh,81%,2022,Mimi Cave,"
                                Mar 4, 2022
                            ",DolbyDigital,,"Horror,Comedy,Drama,Mystery&thriller",hulu
Scream VI,76%,2023,Matt Bettinelli-Olpin,"Mar 10, 2023",,,"Holiday,Horror,Mystery&thriller","vudu,paramount-plus-us,showtime,apple-tv-us"
The Conjuring 2,80%,2016,James Wan,"Jun 10, 2016",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,apple-tv-us"
The Autopsy of Jane Doe,86%,2016,André Øvredal,"Dec 21, 2016",IFCFilms,,"Horror,Mystery&thriller","vudu,hulu,amazon-prime-video-us,apple-tv-us"
The Bird With the Crystal Plumage,85%,1970,Dario Argento,"
                                Oct 29, 2017
                            ","CCCFilmkunstGmbH,SedaSpettacoli,Glazier",,Mystery&thriller,"vudu,amazon-prime-video-us"
Piggy,91%,2022,Merry Colomer,"
                                Oct 14, 2022
                            ",MagnetReleasing,,Spanish(Spain),"vudu,hulu,amazon-prime-video-us,apple-tv-us"
The Omen,84%,1976,Richard Donner,"Jun 25, 1976","20thCenturyFoxHomeEntertainment,20thCenturyFox,CBS/Fox,Fox",,Horror,"vudu,amazon-prime-video-us,apple-tv-us"
Candyman,84%,2021,Nia DaCosta,"Aug 27, 2021",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,apple-tv-us"
The Exorcist,78%,1973,William Friedkin,"Dec 26, 1973",,,Horror,"vudu,amazon-prime-video-us,max-us,apple-tv-us"
Cronos,90%,1993,Guillermo del Toro,"Sep 12, 1993",OctoberFilms,,Horror,"amazon-prime-video-us,max-us,apple-tv-us"
The Black Phone,81%,2021,Scott Derrickson,"Jun 24, 2022",ParamountPictures,,"Horror,Mystery&thriller","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Sputnik,88%,2020,Aleksandr Andryushchenko,"
                                Aug 14, 2020
                            ",IFCMidnight,,Russian,"vudu,hulu,apple-tv-us"
Tremors,88%,1990,Ron Underwood,"Jan 19, 1990",,,"Horror,Comedy","vudu,amazon-prime-video-us"
Freaky,83%,2020,Christopher Landon,"Nov 13, 2020",,,"Horror,Comedy","vudu,amazon-prime-video-us,apple-tv-us"
Gremlins,86%,1984,Joe Dante,"Jun 8, 1984",,,"Holiday,Fantasy,Mystery&thriller,Comedy,Horror","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Hatching,92%,2022,Mika Ritalahti,"
                                May 17, 2022
                            ",IFCMidnight,,Finnish,"vudu,hulu,amazon-prime-video-us,apple-tv-us"
The Endless,92%,2017,David Lawson Jr.,"
                                Jun 26, 2018
                            ",WellGoUSA,,English,"vudu,peacock,amazon-prime-video-us,apple-tv-us"
Rare Exports: A Christmas Tale,89%,2010,Jalmari Helander,"Dec 3, 2010",,,"Holiday,Comedy,Adventure,Horror","in-theaters,vudu,peacock,amazon-prime-video-us,apple-tv-us"
Nanny,90%,2022,Nikyatu Jusu,"Nov 23, 2022",AmazonStudios,,"Horror,Mystery&thriller",amazon-prime-video-us
Santa Sangre,86%,1989,Alejandro Jodorowsky,"Mar 30, 1990",RepublicPictures,,Horror,amazon-prime-video-us
Only Lovers Left Alive,86%,2013,Jim Jarmusch,"Apr 11, 2014",,,"Drama,Romance,Horror,Fantasy,Sci-fi","vudu,hulu,amazon-prime-video-us,apple-tv-us"
The Evil Dead,86%,1981,Sam Raimi,"Oct 15, 1981",NewLineCinema,,Horror,"in-theaters,vudu,amazon-prime-video-us"
The Descent,87%,2005,Neil Marshall,"Aug 4, 2006",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,max-us,apple-tv-us"
Bone Tomahawk,91%,2015,Dallas Sonnier,"
                                Mar 11, 2017
                            ",CaliberMediaCompany,,English,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
The Love Witch,95%,2016,Anna Biller,"
                                Feb 3, 2017
                            ",OscilloscopeLaboratories,,English,"vudu,peacock,amazon-prime-video-us,apple-tv-us"
Poltergeist,88%,1982,Tobe Hooper,"Jun 4, 1982",,,"Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Wolf Man,91%,1941,George Waggner,"
                                May 8, 2015
                            ",UniversalPictures,,English,"in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Saint Maud,92%,2019,Rose Glass,"Jan 29, 2021",A24,,Horror,"vudu,amazon-prime-video-us,apple-tv-us"
The Shining,83%,1980,Stanley Kubrick,"May 23, 1980",WarnerBros.Pictures,,"Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Thing,85%,1982,John Carpenter,"Jun 25, 1982",UniversalPictures,,"Horror,Sci-fi,Mystery&thriller","in-theaters,vudu,peacock,amazon-prime-video-us,apple-tv-us"
The Conjuring,86%,2013,James Wan,"Jul 19, 2013",,,"Horror,Mystery&thriller","in-theaters,vudu,max-us,apple-tv-us"
The Texas Chain Saw Massacre,89%,1974,Tobe Hooper,"Oct 1, 1974","PioneerEntertainment,NewLineCinema",,"Horror,Mystery&thriller","in-theaters,vudu,amazon-prime-video-us,apple-tv-us"
Don't Breathe,88%,2016,Fede Alvarez,"Aug 26, 2016",,,"Horror,Mystery&thriller","vudu,amazon-prime-video-us,apple-tv-us"
Grindhouse,84%,2007,Quentin Tarantino,"Apr 6, 2007",,,"Action,Horror",
House of Wax,93%,1953,Andre de Toth,"Apr 10, 1953","WarnerHomeVídeo,WarnerBros.",,Horror,"vudu,amazon-prime-video-us,apple-tv-us"
Village of the Damned,93%,1960,Ronald Kinnoch,"
                                Oct 1, 2009
                            ",Metro-Goldwyn-Mayer,,English,"vudu,amazon-prime-video-us,apple-tv-us"
You Won't Be Alone,93%,2022,Goran Stolevski,"Apr 1, 2022",,,"Horror,Drama","vudu,peacock,amazon-prime-video-us,apple-tv-us"
Don't Look Now,93%,1973,Nicolas Roeg,"Dec 25, 1973",ParamountPictures,,Mystery&thriller,"vudu,amazon-prime-video-us,apple-tv-us"
Let Me In,88%,2010,Matt Reeves,"Oct 1, 2010",,,Horror,"vudu,amazon-prime-video-us,max-us,apple-tv-us"
The Wicker Man,90%,1973,Robin Hardy,"Aug 7, 1974",$61.8K,1h42m,"Mystery&thriller,Horror","vudu,amazon-prime-video-us,apple-tv-us"
Dead Alive,89%,1992,Peter Jackson,"Feb 12, 1993",,,"Horror,Comedy",
The Fly,95%,1958,Kurt Neumann,"
                                Mar 1, 2013
                            ",20thCenturyFox,,English,"vudu,amazon-prime-video-us,max-us,apple-tv-us"
10 Cloverfield Lane,90%,2016,Dan Trachtenberg,"Mar 11, 2016",,,Mystery&thriller,"vudu,amazon-prime-video-us,paramount-plus-us,apple-tv-us"
The Host,93%,2006,Bong Joon Ho,"
                                Nov 1, 2016
                            ",MagnoliaFilms,,"Horror,Comedy","in-theaters,vudu,peacock,amazon-prime-video-us,paramount-plus-us,showtime,apple-tv-us"
Thelma,92%,2017,Thomas Robsahm,"
                                Jan 16, 2018
                            ",TheOrchard,,Norwegian,"vudu,amazon-prime-video-us,apple-tv-us"
Carrie,93%,1976,Brian De Palma,"Nov 3, 1976","ParamountPictures,Metro-Goldwyn-MayerDistributingCorp.,CriterionCollection,UnitedArtists",,Horror,"in-theaters,vudu,amazon-prime-video-us,max-us,apple-tv-us"
